2018/02/05 12:19:52 db_populator.go:106: Error 1146: Table 'academy.user' doesn't exist
2018/02/05 12:19:52 db_populator.go:99: Panic Caught in getUserAgent : runtime error: invalid memory address or nil pointer dereference 
2018/02/05 12:19:52 db_populator.go:47: Panic Caught in CreateNewUser : Panic Caught in getUserAgent : runtime error: invalid memory address or nil pointer dereference 
 
2018/02/05 12:24:30 db_populator.go:106: Error 1146: Table 'academy.user' doesn't exist
2018/02/05 12:24:30 db_populator.go:99: Panic Caught in getUserAgent : runtime error: invalid memory address or nil pointer dereference 
2018/02/05 12:24:30 db_populator.go:47: Panic Caught in CreateNewUser : Panic Caught in getUserAgent : runtime error: invalid memory address or nil pointer dereference 
 
2018/02/05 12:32:59 db_populator.go:82: User Created : 
2018/02/05 12:33:00 db_populator.go:82: User Created : 
2018/02/05 12:33:02 db_populator.go:82: User Created : 
2018/02/05 12:33:03 db_populator.go:82: User Created : 
2018/02/05 12:33:05 db_populator.go:82: User Created : 
2018/02/05 12:33:07 db_populator.go:82: User Created : 
2018/02/05 12:33:08 db_populator.go:82: User Created : 
2018/02/05 12:33:10 db_populator.go:82: User Created : 
2018/02/05 12:33:11 db_populator.go:82: User Created : 
2018/02/05 12:33:13 db_populator.go:82: User Created : 
2018/02/05 12:33:15 db_populator.go:82: User Created : 
2018/02/05 12:33:16 db_populator.go:82: User Created : 
2018/02/05 12:33:18 db_populator.go:82: User Created : 
2018/02/05 12:33:19 db_populator.go:82: User Created : 
2018/02/05 12:33:21 db_populator.go:82: User Created : 
2018/02/05 12:33:23 db_populator.go:82: User Created : 
2018/02/05 12:33:24 db_populator.go:82: User Created : 
2018/02/05 12:33:26 db_populator.go:82: User Created : 
2018/02/05 12:33:27 db_populator.go:82: User Created : 
2018/02/05 12:33:29 db_populator.go:82: User Created : 
2018/02/05 12:33:31 db_populator.go:82: User Created : 
2018/02/05 12:33:32 db_populator.go:82: User Created : 
2018/02/05 12:33:34 db_populator.go:82: User Created : 
2018/02/05 12:33:35 db_populator.go:82: User Created : 
2018/02/05 12:33:37 db_populator.go:82: User Created : 
2018/02/05 12:33:39 db_populator.go:82: User Created : 
2018/02/05 12:33:40 db_populator.go:82: User Created : 
2018/02/05 12:33:42 db_populator.go:82: User Created : 
